Latitude,Longitude,Number of casualties,Time of accident
53.950904,-1.086766,1,20:20:00
53.913967,-1.052555,4,12:21:00
53.976887,-1.087723,1,18:36:00
53.940178,-1.106653,2,19:05:00
53.945053,-1.073943,1,14:40:00
53.961232,-1.085626,1,13:40:00
53.9473,-1.085626,1,08:05:00
53.968739,-1.079974,1,18:50:00
53.999417,-1.037649,3,20:20:00
53.940363,-1.10741,1,17:30:00
53.955167,-1.128277,2,20:45:00
53.979304,-1.074709,1,14:55:00
53.906678,-0.974935,1,10:39:00
54.011459,-0.993573,4,10:50:00
53.954537,-1.022986,1,09:32:00
53.917365,-1.146118,4,09:20:00
53.964863,-1.06695,1,08:05:00
53.962791,-1.077971,1,14:58:00
53.954656,-0.972692,1,07:45:00
53.996312,-1.089129,2,08:36:00
53.9526,-1.085205,1,11:16:00
53.971054,-1.088917,1,08:00:00
53.997531,-1.072169,1,13:26:00
54.026612,-1.066942,1,13:15:00
53.957528,-1.083269,1,23:20:00
53.964216,-1.088,1,08:15:00
53.96272,-1.116383,1,15:26:00
54.022677,-1.081226,1,17:35:00
53.951719,-1.075777,1,18:40:00
53.959043,-1.081559,1,15:20:00
53.974359,-1.074513,1,16:27:00
53.957957,-1.080516,1,11:45:00
53.954546,-1.092935,1,17:33:00
54.005053,-1.140967,1,00:01:00
53.956323,-1.010599,1,16:15:00
53.959099,-1.088873,2,10:40:00
53.940365,-1.107715,1,19:33:00
53.957538,-1.027335,4,12:00:00
53.964159,-1.080532,1,17:20:00
53.978603,-1.189086,2,20:23:00
53.938068,-1.06572,1,10:15:00
53.977747,-1.070931,1,10:30:00
53.99588,-1.091426,1,16:19:00
53.924969,-1.05718,5,17:02:00
53.938569,-1.144923,2,21:20:00
53.951127,-1.012703,1,08:46:00
53.92803,-1.116964,1,12:30:00
53.954106,-1.059113,2,09:14:00
53.990762,-1.023358,1,11:52:00
53.916891,-1.10578,1,00:30:00
54.00876,-1.094961,1,14:00:00
54.035799,-1.05788,1,13:42:00
53.963761,-1.087247,1,15:56:00
53.996416,-1.056024,1,18:00:00
53.970681,-1.135729,1,07:45:00
53.950633,-1.122734,1,11:45:00
53.933171,-1.144272,1,21:39:00
53.911431,-1.050177,2,08:06:00
53.940755,-1.11182,1,07:49:00
53.959373,-1.089477,1,12:40:00
53.985757,-1.072278,2,22:30:00
53.95911,-1.090245,1,02:20:00
53.995962,-1.090357,1,12:42:00
53.999581,-1.058393,1,09:30:00
