Lat,Long,District,Decision
53.27954757,-6.110817368,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26959604,-6.10191858,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29839034,-6.167162381,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29214989,-6.136331715,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27227219,-6.254464765,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29525781,-6.258850335,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.23036898,-6.121498077,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.30881246,-6.235258923,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28243454,-6.176260285,Dun Laoghaire Rathdown,GRANT PERMISSION
53.20804874,-6.123312584,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2892634,-6.253710615,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29001904,-6.27498388,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28840016,-6.143523743,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28125138,-6.211487971,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.26019889,-6.203149347,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27646625,-6.257152857,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29404663,-6.133459869,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.28348715,-6.147571883,Dun Laoghaire Rathdown,WITHDRAW THE APPLICATION
