Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
"Cois Abhainn, St Johnston (Phase 2)",SHIP CONSTRUCTION,Donegal ,6,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Emerald Drive, Killybegs (Phase 6)",SHIP CONSTRUCTION,Donegal ,10,*N/A,,The scheme was Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
Ballygall Road East phase 2,CALF CONSTRUCTION,Dublin City,11,Fold Ireland Housing Association,,,,,,Scheme completed in Q1 2016
"Poplar Row, Dublin 3",CALF CONSTRUCTION,Dublin City,29,Oaklee Housing Trust,,,,Approval of turnkey/construction project Q1 2015,,
"St Mary?s Mansions, Dublin 1",CALF CONSTRUCTION,Dublin City,56,Cluid Housing Association,,,,Approval of turnkey/construction project Q1 2015,,
"Richmond Road, Dublin 9",CALF CONSTRUCTION,Dublin City,39,Co-operative Ireland,,,,Approval of turnkey/construction project Q4 2015,,
"Wad River Close, Ballymun, Dublin 9",CALF CONSTRUCTION,Dublin City,8,Cluid Housing Association,,,,Approval of turnkey/construction project Q2 2016,,
"Raleigh Square, Crumlin",CALF CONSTRUCTION,Dublin City,33,The Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"Harolds Cross, Dublin 6",CALF CONSTRUCTION,Dublin City,28,Focus Ireland,,,,,,Scheme completed in Q4 2016
"Broome Lodge,
Dunmanus Court, Cabra",CALF CONSTRUCTION,Dublin City,33,Cluid Housing Association,,,,,Scheme started on site in Q1 2016,
"Annamore Court, Ballyfermot",CALF CONSTRUCTION,Dublin City,70,The Iveagh Trust,,,,,Scheme started on site in Q1 2016,
"Orchard Lawns, Ballyfermot",CALF CONSTRUCTION,Dublin City,72,Co-operative Ireland,,,,,Scheme started on site in Q4 2016,
" An Riasc, Farnham Drive, Finglas",CALF CONSTRUCTION TURNKEY,Dublin City,14,The Housing Association,,,,,,Scheme completed in Q2 2016
"Thornwood, Beaumont",CALF CONSTRUCTION TURNKEY,Dublin City,46,The Housing Association,,,,,,Scheme completed in Q2 2016
"St Agnes Convent, Armagh Road, Crumlin, Dublin 12",CALF CONSTRUCTION TURNKEY,Dublin City,97,Fold Ireland Housing Association,,,,Approval of turnkey/construction project Q4 2016,,
"An Riasc, Finglas, Phase 1,2,3 and 4",CALF CONSTRUCTION TURNKEY,Dublin City,35,The Housing Association,,,,,Scheme started on site in Q3 2015,
